Math_Score,Statistics_Score,Programming_Score,ML_Score,AI_Score,Project_Score,Study_Hours,Internet_Access,Class_Participation,Parental_Support,Performance_Label
85.86259734470126,93.17741266109049,85.18668201376241,80.57925157272791,79.28403872139836,81.89316980042092,High,Yes,Active,Strong,Excellent
78.25675208722473,80.90134482609388,84.32873050211701,92.9980002152176,83.58198182893923,82.46830091340472,High,Yes,Passive,Strong,Excellent
85.34454212103128,92.26129752476447,76.80452196420026,83.43670279370326,80.64366786262772,82.71658801823388,Medium,Yes,Active,Strong,Excellent
84.38766638013469,82.74468846513219,79.53858131824899,78.18910161401094,84.17006515472602,88.2269454285081,Medium,Yes,Active,Strong,Excellent
89.0753676074501,84.90720153328436,87.16690338507178,86.87418283266138,80.55469509486157,87.06137127313627,High,Yes,Active,Strong,Excellent
79.84838068906083,83.29399286713188,74.7810666428032,81.31180942355496,91.79150218812892,83.49050296129847,High,Yes,Passive,Moderate,Excellent
82.83996973906437,84.30747917907682,86.82090901586284,90.15735824866506,88.88307487213555,84.36186646696177,Low,Yes,Active,Weak,Excellent
85.48944595307809,77.16834581336843,83.18938953077155,86.06435443514687,86.32967321333712,78.01333095336733,Low,Yes,Active,Moderate,Excellent
85.99742881346116,83.84533231070571,85.68417702229725,94.2417183827184,90.32225122101505,77.3129461546931,High,Yes,Active,Weak,Excellent
85.37230129947532,91.45918545873673,89.8331956557396,87.10975086799758,93.97892122598394,84.10224308627811,Low,Yes,Active,Weak,Excellent
89.91221283657814,88.68190169512843,80.64002656244897,86.613967103975,73.5514899002748,91.47064935052462,Low,Yes,Active,Strong,Excellent
87.08320678433793,87.60150737302124,87.54993252528625,83.19606277665581,78.40619533991551,83.81847543562078,Low,Yes,Active,Strong,Excellent
88.43606039700283,85.49968777435907,89.52976118709425,79.05398753587511,86.35088711093661,84.3856543656914,High,Yes,Active,Strong,Excellent
90.32760188827663,89.45353233114147,83.5664786861441,84.89331269853655,89.59660652059074,81.46926450891661,High,Yes,Active,Moderate,Excellent
80.75896953757315,79.62775372954049,85.2401091198218,82.70651175329654,80.98477740497268,82.11027010565768,Medium,Yes,Active,Strong,Excellent
88.94748850199151,78.75122775185498,88.61231330394025,84.95289542486877,99.8599489600549,84.38899239291122,Medium,Yes,Active,Strong,Excellent
91.32505901566567,85.03689509597714,76.01544504812978,82.31370631728377,87.26635404829568,89.59406130267915,Medium,Yes,Active,Strong,Excellent
79.20140154890494,88.28677617960332,90.45345764539807,76.22245346042452,92.3702957090604,84.96801752217128,High,Yes,Passive,Strong,Excellent
75.79266845983034,83.7211642499114,92.92141885963107,84.1925362133355,81.50608975006718,88.47829076228504,Low,Yes,Active,Moderate,Excellent
83.22775610810375,75.19662400441305,90.40811573241021,86.13684631057099,92.10800183360851,83.41702434948519,High,Yes,Passive,Moderate,Excellent
79.40249522267914,77.99432513614057,77.66114698997916,89.41747712010863,80.73691484892542,90.6144106013909,High,Yes,Active,Strong,Excellent
85.48882837246339,83.68468133135926,87.34681829481204,84.21087614486386,87.59115560819713,82.1911489949631,Medium,Yes,Passive,Strong,Excellent
85.84905231253468,85.74076751256672,80.35748712797398,88.6822473162114,91.91867625308358,86.83162353406927,High,Yes,Active,Weak,Excellent
90.72553767867166,76.64151804918762,87.2248603389552,86.87729633904415,87.90661825159644,84.33126466528914,Low,Yes,Active,Weak,Excellent
94.79922702864617,90.18083070956162,76.49347173474602,82.15436455995236,92.45408386898579,80.87060133475897,High,No,Active,Moderate,Excellent
88.88604145910801,87.48082865313755,85.66477552382898,90.0010110409863,85.93647601553623,86.34683729976037,Medium,Yes,Active,Strong,Excellent
79.59875824243193,91.54617000826556,84.5392178369513,82.17849443301749,92.46176285481967,92.69339025007355,Medium,Yes,Active,Weak,Excellent
99.00652801295807,92.06622511047894,86.089023313388,85.61997026246888,85.41746522453671,80.85575205748124,High,Yes,Active,Moderate,Excellent
84.99363929321277,87.24475126790557,88.88310770064598,85.20358993816313,85.5461471688515,91.16129908408794,Medium,Yes,Passive,Strong,Excellent
84.66205062775167,80.81513537475844,87.20948090515664,82.53535061001743,78.53340887968838,83.52138121771921,High,Yes,Passive,Strong,Excellent
77.07762592783928,82.35353286696093,84.13733912977487,82.33795732577241,84.67458540878535,78.91711833320358,High,Yes,Active,Strong,Excellent
83.44860757259858,84.86514612774445,86.97076198328273,88.60082621881588,81.90091796541799,79.89019942422208,High,Yes,Passive,Strong,Excellent
79.97553366241033,85.18656756793006,86.79094644407782,87.0144912451645,89.85743550180622,80.5382522583871,High,Yes,Active,Strong,Excellent
91.34384099324089,77.59529704604459,85.5637104903448,89.39883883599774,90.93017810532302,82.72769945987255,High,Yes,Passive,Weak,Excellent
75.790504886874,80.89387734622835,81.44172155895558,86.86570413874989,79.43067514171456,83.28359888164994,Medium,Yes,Active,Strong,Excellent
84.48671958299441,84.7894127642807,83.91696317333148,87.08661990914457,79.60124686750706,90.48091251454679,Medium,Yes,Passive,Moderate,Excellent
91.31198964563562,88.16921507314368,76.86206234700585,82.80307219545463,87.99387033061691,80.16676403967692,High,Yes,Active,Weak,Excellent
88.24803496603238,92.2067307747008,81.05548524451851,88.67623288286808,83.72537208315319,79.19025374606409,High,Yes,Active,Moderate,Excellent
79.65228853262803,81.82818216844298,86.44282456131266,73.73856646340985,84.69239048009527,91.39444912091348,Medium,No,Active,Weak,Excellent
86.1080383762301,96.25130991770561,79.58682271257108,86.76584910621789,94.80722057317865,88.56517679274289,Medium,Yes,Active,Moderate,Excellent
87.85833917670578,82.29073332620712,83.33652012811766,83.09603605958242,88.96000991034731,89.54002702635982,High,Yes,Active,Strong,Excellent
81.94935498000648,84.90864441593277,88.7888988154119,86.38469344381186,89.68455688094559,79.51749876753682,Medium,Yes,Active,Strong,Excellent
81.45072381516987,80.83423497325343,81.14792248585287,73.29857859949186,88.77978810504783,76.5436753960176,High,Yes,Active,Strong,Excellent
87.89865213233733,88.28545911093504,83.08893602832413,78.08701127471495,82.05668664862351,77.75405998034324,Medium,No,Active,Strong,Excellent
87.76989496163566,83.76185089051815,87.57733871250561,85.48292367826477,84.35809394505087,85.88061018437064,High,No,Active,Weak,Excellent
92.46507828352117,77.80456106383764,95.59425200628789,86.54186430086712,87.68585498460939,90.97198814087469,High,No,Active,Moderate,Excellent
