Student_ID,Study_Hours,SocialMedia_Hours,Sleep_Hours,Attendance,GPA
1,5.4,2.8,8.3,65,3.64
2,4.3,4.2,7.5,75,3.25
3,5.7,9.1,6.5,94,3.17
4,7.2,3.8,5.6,72,3.84
5,4.1,6.3,6.4,77,3.13
6,4.1,2.6,8.1,87,3.05
7,7.3,3.9,9.1,90,4
8,5.9,7.5,8.7,79,3.35
9,3.7,2.7,6.2,76,3.24
10,5.5,7.6,5.5,96,3.57
11,3.7,5.4,7,99,2.94
12,3.7,2.9,4.7,92,3.09
13,4.9,5.3,7.2,83,3.29
14,1.1,5.9,6.6,74,2.17
15,1.4,5.2,6.2,74,2.78
16,3.5,0.9,4.9,87,3.14
17,2.7,2.5,7.4,86,3.01
18,5.1,3.5,6.2,96,3.64
19,2.9,3.9,5.4,89,2.74
20,2,5.2,3.4,67,2.27
21,7.1,4.4,6.8,93,4
22,4.1,1.3,8.9,72,3.39
23,4.6,4.8,8.8,78,3.34
24,1.9,5.2,6.3,85,2.56
25,3.5,5.1,6.1,100,2.87
26,4.7,6.2,7.4,100,3.47
27,2.4,5.7,5.6,88,3.09
28,5.2,4.9,7.2,80,3.41
29,3.4,3.9,7.7,87,3.25
30,4,0.7,8.3,91,3.78
31,3.4,4.9,6.7,79,2.73
32,7.8,4.4,6.6,100,4
33,4.5,4.5,5.7,84,3.29
34,2.6,1.4,5.8,87,3.44
35,6,1.8,6.5,89,3.74
36,2.3,6.1,7.2,86,3.11
37,4.9,3.9,7.9,90,3.71
38,1,5.4,5.8,76,2.45
39,2.1,4.1,8.6,76,2.88
40,4.9,4.1,6.5,71,3.23
41,5.8,5.9,6.8,86,3.76
42,4.8,3,5.9,90,3.54
43,4.3,4.2,3.9,87,2.78
44,4,3.1,7.9,99,3.28
45,1.8,3.1,7.7,82,2.82
46,3.2,3.4,6.5,89,3.21
47,3.7,4.4,6.9,71,3
48,6.4,3,7.4,78,4
49,5.1,6.5,4.9,89,2.85
50,1.3,2.2,6.2,90,2.86
51,5.1,3.6,7.8,79,3.14
52,3.8,3.1,5.3,81,3.32
53,3.3,6.9,7.2,67,2.68
54,5.6,4.4,5.2,78,3.51
55,6.4,6.1,7.4,91,3.52
56,6.2,1,6.8,88,4
57,3,4.5,4.9,87,3.12
58,3.9,5.8,8.2,82,3.26
59,5.1,4.2,5.9,82,3.38
60,6.3,6.1,5.8,75,3.55
61,3.6,3,7,89,3.16
62,4.2,6.8,8.2,86,3.31
63,2.5,8.6,5.6,87,2.84
64,2.3,3.3,6.9,77,3.08
65,6,3.1,7.3,60,3.39
66,6.9,6.9,7.6,93,3.86
67,4.4,7.2,7,77,2.75
68,6.3,3,6.4,73,3.82
69,5.2,3.2,5.8,89,3.65
70,3.3,3.4,6.9,78,2.71
71,5.2,1.3,5.5,93,3.5
72,7.3,2.2,3.3,88,3.92
73,4.4,2,7.3,89,3.51
74,7.3,2.5,7.9,68,3.75
75,0.5,3.9,4,94,2.51
76,6,4.5,5.6,85,3.63
77,4.7,7.1,7.5,78,3.08
78,4,2,9.3,83,3.36
79,4.7,6,6.8,64,3.24
80,0.9,3.6,5.9,86,2.91
81,4.1,3.9,6.6,72,3.04
82,5.1,5.3,8.4,68,3.19
83,7.2,1.8,6,67,4
84,3.6,4.8,5.8,93,3.06
85,3,4.3,6.2,76,2.86
86,3.6,5,5.7,97,3.3
87,6.1,4.6,6.9,77,3.22
88,5.1,8.9,8.7,65,3.26
89,3.5,2.7,7.2,71,3.14
90,5.4,2.9,6.5,94,3.64
91,4.7,2.8,6.4,80,3.42
92,6.2,2.9,4.9,77,3.65
93,3.2,2.7,7.9,84,2.88
94,3.9,6.4,6.7,87,3.35
95,3.8,6.8,6.6,93,3.06
96,1.9,2.9,10,96,3.24
97,5,2.3,7.2,78,3.75
98,5,4.9,5.9,69,2.98
99,4.5,2.9,6.3,78,3.45
100,4.1,5.3,8.2,85,3.18
101,2,4.4,6.9,72,2.82
102,3.7,1,5.1,72,2.8
103,3.9,7.1,7.9,85,3.02
104,3.1,7.6,6,82,2.56
105,4.2,2.8,9,82,3.57
106,5.2,3.2,8.1,74,3.63
107,7.9,4.6,6.3,80,3.84
108,4.8,4.7,8.3,73,3.19
109,5,5.3,6.9,91,3.4
110,4.4,8,7.8,92,2.95
111,1,3.6,7.4,64,2.61
112,4.5,2.4,5.8,73,3.23
113,4.6,1.2,6,67,2.8
114,8.9,2.5,8,75,4
115,4.2,3.9,6.4,81,3.02
116,5,7.6,6.3,68,2.67
117,4.4,3,5.7,73,3
118,2.4,4.4,7.3,72,2.78
119,6.6,4,9.3,84,4
