Advertising_Budget_kUSD,Store_Size_sqm,Number_of_Employees,Customer_Satisfaction_Score,Random_Social_Mentions,Monthly_Sales_Revenue_USD
57.45,115.08,28,66.71,-1.594,11509.31
47.93,174.76,29,69.4,-0.599,12972.75
,401.7336888493817,34,82.47,0.005,20164.101013765478
72.85,151.86,33,81.1,0.047,13491.77
46.49,190.32,14,74.79,-0.45,9962.01
46.49,224.24,17,76.17,0.623,10892.59
73.69,313.17,29,87.78,-1.068,14511.77
162.02674824832437,457.75145051228736,29,69.08,-0.142,10361.408142245813
42.96,215.45,29,80.47,0.12,12374.52
58.14,195.53,56,72.98,0.514,13954.24
43.05,84.87,30,72.82,0.712,10607.87
43.01,198.41,34,85.99,-1.125,12843.15
,203.61,33,83.25,-1.534,12845.1
63.093786334651845,688.5309432405045,30,83.14,1.278,3361.944540592791
,188.46,22,88.05,0.332,10710.52
175.57385653106383,581.2728028418098,31,75.21,-0.748,18341.816467328765
34.81,197.92,19,81.82,1.551,11387.64
54.71,129.88,23,71.9,0.116,9925.33
36.38,268.57,21,78.24,1.179,11979.42
28.82,245.12,26,73.7,0.068,12113.41
71.98,247.46,44,75.97,2.061,13448.39
46.61,145.44,10,,1.755,10369.3
51.01,284.17,30,66.82,-0.249,12284.45
28.63,115.89,12,95.92,0.972,10413.81
41.83,235.21,21,64.94,0.645,10358.03
51.66,331.43,34,62.86,1.369,12032.7
32.74,140.57,26,86.58,-0.965,9788.75
55.64,166.02,16,82.92,0.686,11212.41
40.99,205.98,19,81.24,1.058,11517.44
45.62,169.79,30,81.28,-1.759,11320.81
40.97,106.96,19,74.88,-1.183,10270.9
77.78,,27,66.03,-2.039,11079.96
49.8,136.26,25,75.76,-0.269,10974.7
34.13,228.42,20,68.23,0.718,9700.28
62.34,144.83,42,84.75,1.502,13053.34
31.69,293.0,30,73.53,0.074,12613.47
53.13,153.0,9,66.75,1.629,8670.25
20.6,180.68,26,71.79,-1.38,10114.13
129.22694605275333,202.2449848708205,20,79.13,-1.703,10091.46320704314
52.95,126.15,32,69.36,-0.056,10784.32
61.08,,19,66.78,0.384,11922.18
52.57,278.43,24,77.44,-0.033,11903.76
48.27,103.55,29,77.45,-2.067,11429.06
173.63572175614735,77.62255524408825,32,69.93,-0.089,12306.906654602144
27.82,215.59,15,70.29,-1.304,8035.29
39.2,246.91,22,77.32,0.67,11159.26
43.09,125.78,21,60.52,0.367,9915.81
65.86,120.77,20,60.93,-0.94,9922.32
209.87289569606176,207.13710227932197,39,67.82,-0.514,7105.871659667569
23.55,217.82,28,72.87,-1.059,10704.24
54.86,215.03,15,78.11,-0.063,11407.93
44.22,220.79,32,89.75,0.955,13120.04
107.92245398417055,366.1266019785293,42,83.58,-0.986,10901.885861628938
59.18,213.94,33,73.4,0.504,13072.3
65.46,217.58,13,74.81,-0.53,11642.96
63.97,157.14,21,64.97,-0.793,10470.05
113.78211644460069,,35,74.81,-0.107,20351.035503870975
,157.70384454089717,19,72.11,-1.035,27906.587006827776
54.97,128.52,29,78.23,-0.554,11853.78
64.63,239.39,31,66.73,-1.198,12475.85
42.81,141.52,18,80.19,1.965,10621.73
47.22,247.23,25,90.33,0.035,14654.7
33.4,269.52,5,73.91,-0.7,10815.44
,150.76,17,79.02,0.214,9728.66
62.19,257.8,23,81.9,-0.112,14003.91
70.34,224.77,15,70.99,-0.221,11288.69
48.92,249.32,38,,0.614,11947.17
65.05,313.81,14,75.13,0.758,11788.3
55.42,185.28,21,75.98,-0.531,9978.44
40.32,,26,67.27,-0.576,10231.39
55.42,146.63,37,75.25,-0.275,12340.21
73.07,151.05,14,79.98,-2.302,12526.31
179.00962157300893,134.43421711870823,34,89.51,-1.515,10843.17956775357
73.47,220.47,25,84.59,1.367,13151.75
10.7,216.6,17,,1.645,11689.94
62.33,249.63,29,,-0.249,10893.84
51.31,200.78,27,83.72,0.577,12591.65
117.1017507675336,425.1188682626072,20,76.83,0.311,26625.163204445198
,184.12,26,96.9,3.079,11654.4
20.19,363.21,22,66.92,1.12,12833.06
46.7,237.54,26,66.6,-0.128,11950.84
55.36,148.57,30,69.01,-0.956,11110.17
72.17,,38,53.76,-1.606,12209.87
42.23,228.95,15,69.74,0.203,12436.45
37.87,186.59,42,67.41,-0.756,12403.4
150.71670947668466,340.4390636661983,9,76.5,-1.422,16521.529045887335
63.73,228.39,24,78.42,-0.647,12257.51
54.93,195.63,30,93.76,-1.082,12620.76
42.05,149.19,27,84.5,1.687,12226.5
57.7,109.11,20,69.23,0.882,9453.27
51.46,173.21,23,66.02,-0.008,10867.75
64.53,251.38,21,79.92,1.48,12383.61
39.47,212.85,20,61.8,0.077,10743.28
45.09,125.26,32,93.31,-0.861,12541.99
44.12,210.39,28,86.79,1.523,13379.61
28.05,223.12,19,70.31,0.539,10069.13
54.44,146.97,32,57.87,-1.037,10733.67
53.92,209.22,27,88.54,-0.19,12155.61
50.08,203.49,32,73.85,-0.876,11936.42
46.48,131.42,30,,-1.383,12214.88
