Age,Experience_Years,Education_Years,Hours_Per_Week,Skill_Score,Annual_Salary
38,21,14,42,67,85260
33,14,12,31,73,59923
40,18,14,38,55,66947
47,23,12,41,54,87452
33,13,16,40,49,72072
33,12,18,53,45,71521
47,28,12,41,51,82510
41,21,18,34,72,86560
31,12,14,39,56,64663
39,15,12,31,77,66602
31,13,12,39,70,63116
31,9,14,35,40,62700
36,21,16,44,79,94529
20,0,16,37,82,51315
21,4,12,39,55,51844
30,9,12,36,76,52801
26,2,14,48,57,56603
37,14,12,38,71,66976
27,4,12,49,51,53273
23,2,12,44,43,44327
46,26,16,42,64,101761
33,9,18,41,68,67568
35,13,14,41,64,74233
23,8,18,30,52,59914
30,13,14,38,64,68012
35,15,14,44,74,74605
25,3,12,39,69,48400
38,16,16,32,72,79756
30,10,18,39,59,68995
32,7,16,48,87,72053
30,7,14,46,52,59582
49,22,16,39,77,98911
34,14,12,44,87,78097
26,6,16,38,77,58288
41,18,14,31,66,83801
25,7,14,35,62,52476
36,10,14,47,85,76400
20,0,16,38,48,49920
24,3,12,38,55,38480
36,17,16,38,64,79899
40,23,12,49,88,86537
36,12,16,48,75,72974
34,15,16,51,55,81348
32,10,16,39,65,65803
23,0,14,41,60,44814
29,9,14,32,59,62333
31,11,12,47,84,71339
43,16,16,34,49,77711
37,20,12,41,94,89033
20,3,14,34,82,56991
37,13,12,37,86,62601
31,11,12,35,63,60116
29,9,16,36,67,63370
39,18,12,37,48,75438
43,19,16,37,62,71423
42,18,14,44,77,96106
28,6,12,34,89,62896
32,14,14,41,53,68827
37,17,12,46,64,80060
42,19,12,37,67,91292
31,11,16,36,49,70440
33,2,12,38,78,61946
26,7,16,45,59,62342
25,0,12,40,67,46699
41,18,12,37,63,74098
45,20,16,42,58,82409
34,8,14,34,69,61762
43,24,12,43,66,78999
37,14,14,42,64,73203
29,8,12,38,59,50041
37,15,16,35,74,80623
47,26,14,35,94,98359
34,12,16,42,72,75457
47,21,16,46,84,91829
20,0,14,36,49,60345
41,18,18,42,72,94157
35,9,14,29,53,56530
32,9,18,37,47,68192
35,18,12,39,58,69680
20,0,16,35,87,50000
33,10,14,35,84,62832
37,14,14,36,73,77522
46,23,16,41,47,85353
30,15,16,39,67,78903
28,7,12,28,74,63658
30,10,12,29,72,69572
42,23,16,36,42,80422
37,16,16,42,56,79519
30,7,18,26,69,71033
39,16,16,37,78,79611
35,13,18,37,37,67704
42,20,16,46,67,95456
29,9,12,38,72,62784
32,10,12,41,82,69912
31,12,16,40,80,69629
23,1,16,29,78,48904
37,15,12,43,58,67670
37,9,14,41,41,61398
35,15,18,42,64,74371
33,12,14,59,85,73883
23,4,14,29,90,50547
31,0,14,48,80,52373
32,16,12,38,76,75684
28,6,14,41,75,64159
33,15,14,39,61,69450
38,13,12,37,68,64402
50,29,16,37,95,101800
36,11,14,41,55,65319
37,13,16,32,94,83017
34,18,16,43,65,84153
20,0,12,37,89,46527
34,13,16,34,48,64282
35,16,14,37,78,78168
54,34,16,46,58,103759
33,11,12,37,48,59174
37,16,16,41,73,87140
34,19,16,36,85,89351
25,3,12,43,57,50756
44,22,12,43,47,73983
41,22,16,49,68,89829
41,22,16,39,68,94018
27,9,14,43,78,63239
46,26,16,40,84,105321
23,0,14,46,69,56896
39,22,16,36,97,101759
52,27,12,43,73,96460
27,5,16,39,64,63737
30,6,12,39,45,60093
35,13,14,40,66,73910
30,9,12,41,64,59221
22,1,12,39,84,48959
35,14,14,41,76,76417
26,9,12,47,52,50302
38,18,16,44,72,82568
27,4,12,44,80,62761
47,28,14,37,92,89295
28,10,14,35,83,74909
32,6,12,44,81,67777
41,21,12,44,70,79746
25,5,14,47,75,61555
36,13,14,36,88,76844
45,27,14,38,50,96089
22,0,14,31,64,52479
36,14,14,38,58,64788
37,14,12,44,75,75683
41,19,14,37,88,84464
25,0,18,43,61,55631
24,0,14,39,34,39530
39,21,16,41,63,94772
37,12,14,34,83,79771
37,12,16,40,78,72085
37,9,16,25,76,64674
29,5,14,39,65,56908
36,10,18,31,50,73378
37,20,12,46,77,81426
29,10,12,43,57,66293
49,25,16,42,100,107333
38,23,16,47,78,96020
25,6,12,35,61,55145
40,17,12,48,60,67978
27,0,12,44,68,47916
41,26,12,38,66,91739
44,18,16,45,86,88601
28,1,14,34,72,56847
42,23,14,35,59,83964
38,23,14,36,98,85975
41,23,12,37,70,83783
50,29,12,34,81,99555
33,12,16,46,60,68489
28,9,18,38,75,69928
27,8,16,41,74,61311
28,7,12,37,41,57916
34,12,16,30,100,77426
